,prediction_1,favorite_count,tweet_count
2,Golden_Retriever,12222.84892086331,139
4,Labrador_Retriever,11714.042105263157,95
6,Pembroke,11316.78409090909,88
12,Chihuahua,8711.73417721519,79
18,Pug,5871.851851851852,54
9,Chow,10044.024390243903,41
1,Samoyed,13449.725,40
17,Toy_Poodle,6574.973684210527,38
15,Pomeranian,8051.4473684210525,38
11,Malamute,8725.310344827587,29
5,Cocker_Spaniel,11584.185185185184,27
0,French_Bulldog,17751.76923076923,26
7,Chesapeake_Bay_Retriever,10489.826086956522,23
13,Miniature_Pinscher,8644.59090909091,22
16,Siberian_Husky,6943.05,20
8,German_Shepherd,10054.5,20
10,Staffordshire_Bullterrier,9748.315789473685,19
14,Shetland_Sheepdog,8497.166666666666,18
3,Eskimo_Dog,11875.555555555555,18
19,Maltese_Dog,2950.6111111111113,18
